Mes,Año,Total,Ilocalizable,No Contesta,D. Incorrectos,Duplicados,Efectivos,Abiertos,Ventas,Conversion ,Efectividad de Leads
Enero,2024,0,0,0,0,0,0,0,0,0,61.6
Febrero,2024,543,108,33,0,1,389,1,12,3.1,72
Marzo,2024,178,37,13,0,0,128,1,7,5.5,72
Abril,2024,416,79,46,3,0,288,1,8,2.8,69
Mayo,2024,422,33,100,17,0,274,5,13,4.7,65
Junio,2024,967,140,173,31,3,620,17,6,1,64
Julio,2024,954,112,251,12,9,570,5,21,3.7,60
Agosto,2024,1409,504,324,17,18,546,22,17,3.1,39
Septiembre,2024,1315,431,314,14,26,530,42,17,3.2,40
Octubre,2024,1973,514,606,18,13,822,72,23,2.8,42
Noviembre,2024,1562,153,321,44,4,1040,79,22,2.1,67
Diciembre,2024,1282,374,193,60,53,965,330,32,3.3,75
Enero ,2025,1042,17,104,62,29,723,222,26,3.6,69
Febrero,2025,561,9,39,14,31,468,150,20,4.3,83
Marzo ,2025,925,39,98,3,54,731,125,30,4.1,79
Abril ,2025,1149,51,134,8,84,872,141,30,3.4,76
Mayo ,2025,815,5,75,2,14,574,179,34,5.9,70
Junio,2025,1083,62,266,5,56,694,315,40,5.8,64
Julio ,2025,1358,128,241,3,93,893,290,36,4,66
Agosto,2025,1419,81,591,7,59,681,338,27,4,48
Septiembre,2025,1100,32,401,9,18,660,229,38,5.8,60
Octubre ,2025,1192,67,413,0,17,695,288,40,5.8,58
Noviembre,2025,1061,46,218,1,52,744,488,41,5.5,70
Diciembre,2025,1534,125,194,34,44,729,823,34,4.7,48
Enero ,2026,1516,148,187,52,53,714,602,37,5.2,47
Febrero,2026,1235,116,106,8,31,730,523,30,4.1,59
Marzo ,2026,1785,228,184,48,32,944,698,38,4,53
Abril ,2026,1393,212,123,38,28,724,559,41,5.7,52
Mayo ,2026,1251,158,116,25,19,736,458,35,4.8,59
