Base,X,Y,Registros,r,R2
Resumen,Efectivos,Ventas,30,0.6006943535798808,0.3608337064227508
Resumen,PDM,Ventas,30,0.8255004923240131,0.6814510628271881
SDC,Aprobadas,Formalizadas,31,0.9329411615500491,0.8703792109143552
Funnel,Programadas,Efectivas,18,0.9552159278865178,0.9124374688881011
Funnel,Efectivas,Ventas,18,0.34266084633677923,0.11741645561223812
Funnel,Aprobadas,Ventas,18,0.8227093199279021,0.6768506250962307
CPL FACEBOOK,Presupuesto,Leads,13,0.590659784716823,0.3488789812817237
Marketing,Provision,Ventas,18,0.6458599579797951,0.41713508532166277
Citas Digital,PDM,Venta,664,0.16697146922394304,0.027879471534801747
Citas Digital,SDC,Venta,664,0.23907767086076306,0.05715813270420722
Base de Leads,Muy_interesado,Venta,210,0.5962847939999436,0.3555555555555556
Analisis de Piso,PDM,Ventas,24,0.8720368887052768,0.7604483352627791
Leads por Canal,Plazas,Digitales,29,0.7695433900037615,0.5921970290984813
TOPS VENTAS,Formalizacion_pct,Ventas,5,-0.20144026167626689,0.04057817902420202
